booking_id,customer_email,trek_location,package_duration_days,difficulty_level,booking_date,season,price_per_person,group_size,total_amount,cancellation_status,number_of_people_cancelled,customer_age,customer_city
19,user19@gmail.com,Kedarkantha,7,Moderate,04-03-2024,Moderate,14000,4,56000,Completed,0,24,Bangalore
20,user20@gmail.com,Valley of Flowers,6,Moderate,07-11-2023,Peak,15600,6,93600,Completed,0,52,Mumbai
21,user21@gmail.com,Hampi,5,Easy,30-06-2025,Off,7650,1,7650,Completed,0,21,Pune
22,user22@gmail.com,Hampi,5,Easy,24-05-2024,Moderate,9000,1,9000,Cancelled - Full Refund,1,23,Mumbai
23,user23@gmail.com,Kedarkantha,7,Moderate,30-05-2024,Moderate,14000,6,84000,Completed,0,43,Mumbai
24,user24@gmail.com,Hampta Pass,5,Moderate,23-05-2025,Moderate,12000,4,48000,Completed,0,47,Hyderabad
25,user25@gmail.com,Valley of Flowers,6,Moderate,02-02-2024,Peak,15600,5,78000,Completed,0,44,Pune
26,user26@gmail.com,Hampta Pass,5,Moderate,03-03-2024,Moderate,12000,1,12000,Completed,0,35,Bangalore
27,user27@gmail.com,Sandakphu,6,Difficult,17-06-2024,Off,12750,1,12750,Cancelled - Full Refund,1,42,Delhi
28,user28@gmail.com,Triund,2,Easy,06-01-2023,Peak,4800,3,14400,Cancelled - Full Refund,3,53,Delhi
29,user29@gmail.com,Hampta Pass,5,Moderate,20-04-2024,Moderate,12000,1,12000,Completed,0,32,Delhi
30,user30@gmail.com,Kedarkantha,7,Moderate,17-02-2023,Peak,16800,5,84000,Completed,0,46,Mumbai
31,user31@gmail.com,Kedarkantha,7,Moderate,13-01-2024,Peak,16800,1,16800,Completed,0,40,Hyderabad
32,user32@gmail.com,Hampi,5,Easy,22-10-2023,Peak,10800,6,64800,Cancelled - No Refund,6,18,Chennai
33,user33@gmail.com,Valley of Flowers,6,Moderate,16-10-2024,Peak,15600,4,62400,Completed,0,42,Chennai
34,user34@gmail.com,Hampi,5,Easy,03-07-2025,Off,7650,2,15300,Completed,0,54,Hyderabad
35,user35@gmail.com,Kedarkantha,7,Moderate,08-07-2024,Off,11900,6,71400,Completed,0,26,Bangalore
36,user36@gmail.com,Kedarkantha,7,Moderate,30-10-2025,Peak,16800,6,100800,Completed,0,25,Hyderabad
37,user37@gmail.com,Kedarkantha,7,Moderate,01-04-2024,Moderate,14000,4,56000,Completed,0,45,Chennai
38,user38@gmail.com,Kedarkantha,7,Moderate,20-12-2024,Peak,16800,1,16800,Cancelled - Partial Refund,1,44,Mumbai
39,user39@gmail.com,Hampta Pass,5,Moderate,13-11-2023,Peak,14400,1,14400,Completed,0,36,Chennai
40,user40@gmail.com,Valley of Flowers,6,Moderate,15-07-2023,Off,11050,5,55250,Completed,0,27,Pune
41,user41@gmail.com,Hampi,5,Easy,28-10-2023,Peak,10800,3,32400,Completed,0,42,Chennai
42,user42@gmail.com,Sandakphu,6,Difficult,02-08-2023,Off,12750,4,51000,Completed,0,25,Chennai
43,user43@gmail.com,Triund,2,Easy,24-08-2025,Off,3400,2,6800,Completed,0,40,Pune
44,user44@gmail.com,Kedarkantha,7,Moderate,13-03-2023,Moderate,14000,2,28000,Completed,0,53,Mumbai
45,user45@gmail.com,Hampta Pass,5,Moderate,14-09-2023,Moderate,12000,6,72000,Completed,0,48,Delhi
46,user46@gmail.com,Hampta Pass,5,Moderate,11-11-2025,Peak,14400,2,28800,Completed,0,50,Hyderabad
47,user47@gmail.com,Kedarkantha,7,Moderate,08-06-2024,Off,11900,5,59500,Completed,0,24,Chennai
48,user48@gmail.com,Kedarkantha,7,Moderate,12-01-2024,Peak,16800,5,84000,Completed,0,47,Chennai
49,user49@gmail.com,Kedarkantha,7,Moderate,23-01-2023,Peak,16800,2,33600,Completed,0,38,Mumbai
50,user50@gmail.com,Kedarkantha,7,Moderate,06-09-2024,Moderate,14000,3,42000,Completed,0,46,Hyderabad
51,user51@gmail.com,Triund,2,Easy,29-01-2024,Peak,4800,1,4800,Completed,0,27,Pune
52,user52@gmail.com,Kedarkantha,7,Moderate,17-05-2025,Moderate,14000,1,14000,Completed,0,31,Delhi
53,user53@gmail.com,Hampi,5,Easy,02-07-2024,Off,7650,6,45900,Cancelled - Full Refund,6,31,Hyderabad
54,user54@gmail.com,Hampta Pass,5,Moderate,29-11-2023,Peak,14400,6,86400,Completed,0,20,Hyderabad
55,user55@gmail.com,Triund,2,Easy,23-06-2025,Off,3400,1,3400,Cancelled - Full Refund,1,45,Bangalore
56,user56@gmail.com,Hampi,5,Easy,14-11-2023,Peak,10800,4,43200,Completed,0,35,Delhi
57,user57@gmail.com,Triund,2,Easy,21-03-2024,Moderate,4000,4,16000,Completed,0,43,Delhi
58,user58@gmail.com,Kedarkantha,7,Moderate,14-11-2024,Peak,16800,6,100800,Completed,0,51,Pune
59,user59@gmail.com,Sandakphu,6,Difficult,18-04-2023,Moderate,15000,4,60000,Cancelled - Partial Refund,4,25,Pune
60,user60@gmail.com,Triund,2,Easy,25-08-2025,Off,3400,2,6800,Completed,0,51,Pune
61,user61@gmail.com,Kedarkantha,7,Moderate,06-04-2025,Moderate,14000,4,56000,Completed,0,20,Delhi
62,user62@gmail.com,Valley of Flowers,6,Moderate,18-10-2025,Peak,15600,1,15600,Completed,0,40,Mumbai
63,user63@gmail.com,Valley of Flowers,6,Moderate,12-06-2024,Off,11050,4,44200,Completed,0,36,Hyderabad
64,user64@gmail.com,Triund,2,Easy,25-03-2025,Moderate,4000,3,12000,Completed,0,26,Chennai
65,user65@gmail.com,Triund,2,Easy,12-01-2024,Peak,4800,4,19200,Completed,0,44,Pune
66,user66@gmail.com,Sandakphu,6,Difficult,19-10-2025,Peak,18000,1,18000,Completed,0,29,Mumbai
67,user67@gmail.com,Kedarkantha,7,Moderate,18-05-2024,Moderate,14000,1,14000,Completed,0,35,Bangalore
68,user68@gmail.com,Triund,2,Easy,24-03-2024,Moderate,4000,4,16000,Completed,0,35,Bangalore
69,user69@gmail.com,Sandakphu,6,Difficult,05-12-2024,Peak,18000,3,54000,Completed,0,22,Hyderabad
70,user70@gmail.com,Valley of Flowers,6,Moderate,12-08-2024,Off,11050,6,66300,Cancelled - Partial Refund,6,32,Bangalore
71,user71@gmail.com,Kedarkantha,7,Moderate,08-06-2025,Off,11900,1,11900,Completed,0,23,Hyderabad
72,user72@gmail.com,Triund,2,Easy,22-07-2023,Off,3400,6,20400,Completed,0,48,Hyderabad
73,user73@gmail.com,Sandakphu,6,Difficult,23-07-2024,Off,12750,6,76500,Completed,0,20,Bangalore
74,user74@gmail.com,Hampi,5,Easy,29-09-2024,Moderate,9000,1,9000,Cancelled - Partial Refund,1,31,Hyderabad
75,user75@gmail.com,Triund,2,Easy,24-06-2023,Off,3400,5,17000,Completed,0,43,Hyderabad
76,user76@gmail.com,Hampta Pass,5,Moderate,23-03-2023,Moderate,12000,3,36000,Completed,0,29,Hyderabad
77,user77@gmail.com,Hampi,5,Easy,07-06-2025,Off,7650,6,45900,Completed,0,23,Bangalore
78,user78@gmail.com,Kedarkantha,7,Moderate,24-01-2025,Peak,16800,3,50400,Completed,0,46,Chennai
79,user79@gmail.com,Hampi,5,Easy,11-08-2024,Off,7650,4,30600,Completed,0,51,Pune
80,user80@gmail.com,Hampi,5,Easy,26-08-2025,Off,7650,2,15300,Completed,0,36,Bangalore
81,user81@gmail.com,Kedarkantha,7,Moderate,19-01-2023,Peak,16800,4,67200,Completed,0,54,Pune
82,user82@gmail.com,Hampi,5,Easy,20-10-2023,Peak,10800,4,43200,Completed,0,44,Delhi
83,user83@gmail.com,Valley of Flowers,6,Moderate,30-08-2024,Off,11050,4,44200,Completed,0,54,Chennai
84,user84@gmail.com,Kedarkantha,7,Moderate,28-08-2025,Off,11900,5,59500,Completed,0,26,Mumbai
85,user85@gmail.com,Sandakphu,6,Difficult,10-11-2025,Peak,18000,1,18000,Cancelled - Partial Refund,1,42,Bangalore
86,user86@gmail.com,Kedarkantha,7,Moderate,29-03-2024,Moderate,14000,1,14000,Cancelled - No Refund,1,42,Delhi
87,user87@gmail.com,Valley of Flowers,6,Moderate,26-09-2024,Moderate,13000,6,78000,Completed,0,48,Hyderabad
88,user88@gmail.com,Sandakphu,6,Difficult,21-01-2025,Peak,18000,3,54000,Completed,0,35,Mumbai
89,user89@gmail.com,Hampi,5,Easy,14-05-2025,Moderate,9000,4,36000,Cancelled - No Refund,4,20,Chennai
90,user90@gmail.com,Sandakphu,6,Difficult,02-02-2025,Peak,18000,6,108000,Completed,0,44,Delhi
91,user91@gmail.com,Hampi,5,Easy,16-06-2025,Off,7650,6,45900,Completed,0,40,Delhi
92,user92@gmail.com,Kedarkantha,7,Moderate,24-01-2023,Peak,16800,4,67200,Completed,0,43,Pune
93,user93@gmail.com,Triund,2,Easy,27-11-2023,Peak,4800,1,4800,Cancelled - Full Refund,1,51,Chennai
94,user94@gmail.com,Triund,2,Easy,11-07-2025,Off,3400,1,3400,Completed,0,40,Hyderabad
95,user95@gmail.com,Sandakphu,6,Difficult,18-02-2024,Peak,18000,3,54000,Completed,0,54,Delhi
96,user96@gmail.com,Valley of Flowers,6,Moderate,27-11-2025,Peak,15600,3,46800,Completed,0,38,Delhi
97,user97@gmail.com,Kedarkantha,7,Moderate,27-06-2024,Off,11900,2,23800,Completed,0,46,Hyderabad
98,user98@gmail.com,Hampi,5,Easy,22-04-2024,Moderate,9000,2,18000,Completed,0,43,Bangalore
99,user99@gmail.com,Hampi,5,Easy,16-08-2025,Off,7650,4,30600,Completed,0,29,Chennai
100,user100@gmail.com,Valley of Flowers,6,Moderate,12-05-2024,Moderate,13000,2,26000,Completed,0,36,Delhi
101,user101@gmail.com,Triund,2,Easy,19-09-2025,Moderate,4000,5,20000,Completed,0,35,Hyderabad
102,user102@gmail.com,Kedarkantha,7,Moderate,24-11-2024,Peak,16800,4,67200,Completed,0,53,Bangalore
103,user103@gmail.com,Triund,2,Easy,14-09-2025,Moderate,4000,5,20000,Completed,0,19,Chennai
104,user104@gmail.com,Hampta Pass,5,Moderate,11-12-2025,Peak,14400,6,86400,Completed,0,39,Hyderabad
105,user105@gmail.com,Triund,2,Easy,20-07-2024,Off,3400,3,10200,Completed,0,55,Pune
106,user106@gmail.com,Sandakphu,6,Difficult,14-09-2023,Moderate,15000,1,15000,Cancelled - Full Refund,1,30,Pune
107,user107@gmail.com,Valley of Flowers,6,Moderate,07-05-2023,Moderate,13000,6,78000,Completed,0,48,Bangalore
108,user108@gmail.com,Kedarkantha,7,Moderate,17-09-2024,Moderate,14000,4,56000,Cancelled - Partial Refund,4,46,Bangalore
109,user109@gmail.com,Valley of Flowers,6,Moderate,20-08-2024,Off,11050,6,66300,Completed,0,20,Hyderabad
110,user110@gmail.com,Kedarkantha,7,Moderate,31-10-2023,Peak,16800,1,16800,Completed,0,54,Mumbai
111,user111@gmail.com,Kedarkantha,7,Moderate,11-10-2024,Peak,16800,5,84000,Cancelled - No Refund,5,53,Chennai
112,user112@gmail.com,Valley of Flowers,6,Moderate,04-08-2023,Off,11050,1,11050,Cancelled - Partial Refund,1,45,Chennai
113,user113@gmail.com,Triund,2,Easy,29-07-2023,Off,3400,1,3400,Completed,0,19,Bangalore
114,user114@gmail.com,Sandakphu,6,Difficult,07-01-2024,Peak,18000,1,18000,Completed,0,44,Mumbai
115,user115@gmail.com,Triund,2,Easy,23-11-2024,Peak,4800,6,28800,Completed,0,23,Mumbai
116,user116@gmail.com,Hampta Pass,5,Moderate,22-07-2025,Off,10200,5,51000,Completed,0,34,Chennai
117,user117@gmail.com,Hampta Pass,5,Moderate,21-04-2024,Moderate,12000,1,12000,Completed,0,54,Mumbai
118,user118@gmail.com,Triund,2,Easy,28-07-2023,Off,3400,2,6800,Completed,0,18,Pune
119,user119@gmail.com,Hampi,5,Easy,01-05-2025,Moderate,9000,6,54000,Completed,0,37,Pune
120,user120@gmail.com,Hampi,5,Easy,27-05-2023,Moderate,9000,6,54000,Completed,0,53,Delhi
121,user121@gmail.com,Valley of Flowers,6,Moderate,25-07-2023,Off,11050,6,66300,Completed,0,36,Hyderabad
122,user122@gmail.com,Kedarkantha,7,Moderate,28-01-2024,Peak,16800,6,100800,Completed,0,55,Delhi
123,user123@gmail.com,Triund,2,Easy,18-04-2023,Moderate,4000,4,16000,Cancelled - No Refund,4,50,Hyderabad
124,user124@gmail.com,Hampi,5,Easy,07-10-2024,Peak,10800,6,64800,Completed,0,37,Hyderabad
125,user125@gmail.com,Kedarkantha,7,Moderate,18-12-2023,Peak,16800,5,84000,Completed,0,42,Mumbai
126,user126@gmail.com,Kedarkantha,7,Moderate,12-01-2023,Peak,16800,3,50400,Completed,0,51,Delhi
127,user127@gmail.com,Sandakphu,6,Difficult,29-11-2025,Peak,18000,6,108000,Completed,0,28,Bangalore
128,user128@gmail.com,Sandakphu,6,Difficult,08-04-2023,Moderate,15000,2,30000,Cancelled - Full Refund,2,41,Hyderabad
129,user129@gmail.com,Triund,2,Easy,20-02-2023,Peak,4800,5,24000,Completed,0,30,Chennai
130,user130@gmail.com,Triund,2,Easy,04-05-2023,Moderate,4000,2,8000,Completed,0,31,Bangalore
131,user131@gmail.com,Kedarkantha,7,Moderate,12-08-2023,Off,11900,4,47600,Completed,0,20,Bangalore
132,user132@gmail.com,Hampta Pass,5,Moderate,19-11-2023,Peak,14400,4,57600,Completed,0,45,Bangalore
133,user133@gmail.com,Sandakphu,6,Difficult,05-06-2024,Off,12750,4,51000,Cancelled - Partial Refund,4,42,Pune
134,user134@gmail.com,Valley of Flowers,6,Moderate,31-07-2023,Off,11050,2,22100,Cancelled - No Refund,2,19,Delhi
135,user135@gmail.com,Kedarkantha,7,Moderate,26-01-2024,Peak,16800,5,84000,Completed,0,49,Chennai
136,user136@gmail.com,Kedarkantha,7,Moderate,25-11-2025,Peak,16800,3,50400,Completed,0,55,Delhi
137,user137@gmail.com,Kedarkantha,7,Moderate,13-06-2023,Off,11900,1,11900,Completed,0,29,Bangalore
138,user138@gmail.com,Valley of Flowers,6,Moderate,01-02-2023,Peak,15600,4,62400,Completed,0,46,Mumbai
139,user139@gmail.com,Hampi,5,Easy,13-02-2025,Peak,10800,5,54000,Cancelled - Partial Refund,5,27,Hyderabad
140,user140@gmail.com,Sandakphu,6,Difficult,07-08-2023,Off,12750,5,63750,Completed,0,46,Hyderabad
141,user141@gmail.com,Kedarkantha,7,Moderate,17-05-2024,Moderate,14000,5,70000,Completed,0,24,Hyderabad
142,user142@gmail.com,Valley of Flowers,6,Moderate,08-10-2024,Peak,15600,1,15600,Completed,0,36,Chennai
143,user143@gmail.com,Valley of Flowers,6,Moderate,25-04-2024,Moderate,13000,1,13000,Completed,0,38,Mumbai
144,user144@gmail.com,Triund,2,Easy,04-01-2024,Peak,4800,3,14400,Completed,0,54,Delhi
145,user145@gmail.com,Hampta Pass,5,Moderate,24-09-2025,Moderate,12000,6,72000,Completed,0,50,Mumbai
146,user146@gmail.com,Sandakphu,6,Difficult,23-05-2024,Moderate,15000,3,45000,Completed,0,45,Bangalore
147,user147@gmail.com,Kedarkantha,7,Moderate,26-07-2023,Off,11900,2,23800,Completed,0,52,Pune
148,user148@gmail.com,Kedarkantha,7,Moderate,09-05-2023,Moderate,14000,2,28000,Cancelled - No Refund,2,43,Hyderabad
149,user149@gmail.com,Sandakphu,6,Difficult,03-09-2025,Moderate,15000,5,75000,Completed,0,36,Chennai
150,user150@gmail.com,Hampi,5,Easy,17-10-2025,Peak,10800,6,64800,Completed,0,51,Mumbai
151,user151@gmail.com,Hampi,5,Easy,19-02-2023,Peak,10800,3,32400,Completed,0,28,Mumbai
152,user152@gmail.com,Hampta Pass,5,Moderate,11-01-2025,Peak,14400,2,28800,Completed,0,39,Pune
153,user153@gmail.com,Triund,2,Easy,25-01-2024,Peak,4800,6,28800,Completed,0,38,Bangalore
154,user154@gmail.com,Kedarkantha,7,Moderate,18-07-2025,Off,11900,4,47600,Completed,0,44,Pune
155,user155@gmail.com,Hampta Pass,5,Moderate,03-02-2024,Peak,14400,1,14400,Completed,0,40,Pune
156,user156@gmail.com,Hampta Pass,5,Moderate,11-05-2025,Moderate,12000,4,48000,Completed,0,26,Hyderabad
157,user157@gmail.com,Valley of Flowers,6,Moderate,16-04-2023,Moderate,13000,5,65000,Completed,0,34,Hyderabad
158,user158@gmail.com,Sandakphu,6,Difficult,13-01-2023,Peak,18000,2,36000,Completed,0,50,Hyderabad
159,user159@gmail.com,Sandakphu,6,Difficult,16-12-2025,Peak,18000,5,90000,Completed,0,23,Pune
160,user160@gmail.com,Hampta Pass,5,Moderate,22-01-2023,Peak,14400,6,86400,Completed,0,36,Bangalore
161,user161@gmail.com,Triund,2,Easy,19-06-2025,Off,3400,2,6800,Completed,0,55,Delhi
162,user162@gmail.com,Hampi,5,Easy,15-06-2024,Off,7650,6,45900,Completed,0,55,Chennai
163,user163@gmail.com,Kedarkantha,7,Moderate,20-12-2025,Peak,16800,2,33600,Completed,0,42,Hyderabad
164,user164@gmail.com,Kedarkantha,7,Moderate,20-10-2023,Peak,16800,2,33600,Completed,0,29,Chennai
165,user165@gmail.com,Kedarkantha,7,Moderate,21-08-2024,Off,11900,3,35700,Completed,0,29,Hyderabad
166,user166@gmail.com,Sandakphu,6,Difficult,14-12-2025,Peak,18000,1,18000,Completed,0,53,Chennai
167,user167@gmail.com,Valley of Flowers,6,Moderate,27-03-2024,Moderate,13000,6,78000,Completed,0,40,Mumbai
168,user168@gmail.com,Triund,2,Easy,28-12-2025,Peak,4800,2,9600,Completed,0,47,Hyderabad
169,user169@gmail.com,Kedarkantha,7,Moderate,11-10-2025,Peak,16800,1,16800,Completed,0,18,Delhi
170,user170@gmail.com,Sandakphu,6,Difficult,14-05-2024,Moderate,15000,2,30000,Cancelled - Full Refund,2,38,Mumbai
171,user171@gmail.com,Sandakphu,6,Difficult,20-04-2023,Moderate,15000,3,45000,Completed,0,47,Bangalore
172,user172@gmail.com,Triund,2,Easy,10-05-2024,Moderate,4000,2,8000,Cancelled - Full Refund,2,30,Chennai
173,user173@gmail.com,Triund,2,Easy,21-03-2024,Moderate,4000,2,8000,Completed,0,46,Pune
174,user174@gmail.com,Valley of Flowers,6,Moderate,13-03-2023,Moderate,13000,1,13000,Completed,0,31,Bangalore
175,user175@gmail.com,Kedarkantha,7,Moderate,18-04-2025,Moderate,14000,3,42000,Completed,0,30,Hyderabad
176,user176@gmail.com,Hampi,5,Easy,07-08-2023,Off,7650,1,7650,Completed,0,20,Hyderabad
177,user177@gmail.com,Hampta Pass,5,Moderate,16-06-2025,Off,10200,5,51000,Completed,0,31,Bangalore
178,user178@gmail.com,Hampi,5,Easy,13-04-2023,Moderate,9000,2,18000,Completed,0,30,Delhi
179,user179@gmail.com,Kedarkantha,7,Moderate,30-10-2023,Peak,16800,1,16800,Completed,0,46,Bangalore
180,user180@gmail.com,Valley of Flowers,6,Moderate,18-10-2024,Peak,15600,2,31200,Completed,0,32,Bangalore
181,user181@gmail.com,Kedarkantha,7,Moderate,02-03-2025,Moderate,14000,6,84000,Completed,0,45,Delhi
182,user182@gmail.com,Kedarkantha,7,Moderate,08-04-2024,Moderate,14000,3,42000,Completed,0,28,Pune
183,user183@gmail.com,Hampi,5,Easy,20-11-2025,Peak,10800,1,10800,Cancelled - Full Refund,1,45,Delhi
184,user184@gmail.com,Hampi,5,Easy,04-03-2024,Moderate,9000,1,9000,Completed,0,35,Delhi
185,user185@gmail.com,Kedarkantha,7,Moderate,13-02-2024,Peak,16800,3,50400,Completed,0,31,Mumbai
186,user186@gmail.com,Kedarkantha,7,Moderate,26-07-2025,Off,11900,6,71400,Completed,0,48,Mumbai
187,user187@gmail.com,Triund,2,Easy,30-11-2025,Peak,4800,3,14400,Completed,0,20,Bangalore
188,user188@gmail.com,Hampi,5,Easy,05-06-2025,Off,7650,4,30600,Completed,0,35,Hyderabad
189,user189@gmail.com,Kedarkantha,7,Moderate,29-01-2025,Peak,16800,6,100800,Completed,0,37,Bangalore
190,user190@gmail.com,Hampta Pass,5,Moderate,15-11-2025,Peak,14400,1,14400,Completed,0,41,Bangalore
191,user191@gmail.com,Hampi,5,Easy,07-09-2024,Moderate,9000,4,36000,Completed,0,27,Bangalore
192,user192@gmail.com,Hampi,5,Easy,18-08-2024,Off,7650,3,22950,Completed,0,23,Pune
193,user193@gmail.com,Valley of Flowers,6,Moderate,07-03-2023,Moderate,13000,2,26000,Completed,0,37,Chennai
194,user194@gmail.com,Hampta Pass,5,Moderate,24-08-2023,Off,10200,4,40800,Cancelled - Partial Refund,4,33,Mumbai
195,user195@gmail.com,Triund,2,Easy,24-01-2024,Peak,4800,6,28800,Completed,0,38,Hyderabad
196,user196@gmail.com,Valley of Flowers,6,Moderate,09-09-2025,Moderate,13000,3,39000,Cancelled - No Refund,3,24,Delhi
197,user197@gmail.com,Sandakphu,6,Difficult,21-07-2024,Off,12750,6,76500,Completed,0,23,Delhi
198,user198@gmail.com,Hampi,5,Easy,19-05-2023,Moderate,9000,1,9000,Cancelled - Full Refund,1,39,Pune
199,user199@gmail.com,Triund,2,Easy,24-03-2025,Moderate,4000,6,24000,Completed,0,31,Hyderabad
200,user200@gmail.com,Kedarkantha,7,Moderate,30-10-2025,Peak,16800,1,16800,Completed,0,51,Pune
201,user201@gmail.com,Sandakphu,6,Difficult,10-09-2024,Moderate,15000,5,75000,Completed,0,48,Chennai
202,user202@gmail.com,Hampi,5,Easy,09-08-2024,Off,7650,6,45900,Completed,0,38,Delhi
203,user203@gmail.com,Kedarkantha,7,Moderate,25-09-2024,Moderate,14000,6,84000,Completed,0,33,Mumbai
204,user204@gmail.com,Kedarkantha,7,Moderate,02-10-2025,Peak,16800,3,50400,Completed,0,23,Mumbai
205,user205@gmail.com,Sandakphu,6,Difficult,29-01-2025,Peak,18000,2,36000,Completed,0,29,Hyderabad
206,user206@gmail.com,Hampta Pass,5,Moderate,08-01-2024,Peak,14400,3,43200,Completed,0,19,Mumbai
207,user207@gmail.com,Triund,2,Easy,26-04-2023,Moderate,4000,4,16000,Completed,0,32,Chennai
208,user208@gmail.com,Hampta Pass,5,Moderate,11-04-2023,Moderate,12000,6,72000,Completed,0,54,Mumbai
209,user209@gmail.com,Kedarkantha,7,Moderate,23-05-2024,Moderate,14000,6,84000,Completed,0,35,Hyderabad
210,user210@gmail.com,Sandakphu,6,Difficult,10-05-2023,Moderate,15000,1,15000,Completed,0,35,Bangalore
211,user211@gmail.com,Kedarkantha,7,Moderate,12-10-2025,Peak,16800,2,33600,Completed,0,33,Delhi
212,user212@gmail.com,Hampi,5,Easy,08-10-2024,Peak,10800,3,32400,Completed,0,21,Bangalore
213,user213@gmail.com,Hampta Pass,5,Moderate,27-05-2025,Moderate,12000,3,36000,Completed,0,40,Delhi
214,user214@gmail.com,Sandakphu,6,Difficult,20-12-2023,Peak,18000,4,72000,Completed,0,54,Chennai
215,user215@gmail.com,Sandakphu,6,Difficult,23-01-2024,Peak,18000,3,54000,Completed,0,38,Delhi
216,user216@gmail.com,Sandakphu,6,Difficult,04-04-2023,Moderate,15000,6,90000,Completed,0,27,Delhi
217,user217@gmail.com,Triund,2,Easy,28-10-2023,Peak,4800,6,28800,Cancelled - Full Refund,6,46,Bangalore
218,user218@gmail.com,Hampi,5,Easy,16-02-2025,Peak,10800,5,54000,Completed,0,27,Hyderabad
219,user219@gmail.com,Hampi,5,Easy,30-03-2023,Moderate,9000,5,45000,Completed,0,45,Hyderabad
220,user220@gmail.com,Hampi,5,Easy,19-06-2025,Off,7650,4,30600,Cancelled - Full Refund,4,50,Chennai
221,user221@gmail.com,Triund,2,Easy,20-07-2024,Off,3400,3,10200,Completed,0,39,Pune
222,user222@gmail.com,Valley of Flowers,6,Moderate,06-11-2024,Peak,15600,3,46800,Cancelled - No Refund,3,30,Delhi
223,user223@gmail.com,Sandakphu,6,Difficult,21-04-2025,Moderate,15000,2,30000,Completed,0,31,Mumbai
224,user224@gmail.com,Hampi,5,Easy,24-04-2025,Moderate,9000,1,9000,Completed,0,18,Pune
225,user225@gmail.com,Valley of Flowers,6,Moderate,11-08-2025,Off,11050,5,55250,Completed,0,53,Hyderabad
226,user226@gmail.com,Kedarkantha,7,Moderate,14-04-2023,Moderate,14000,3,42000,Completed,0,36,Pune
227,user227@gmail.com,Sandakphu,6,Difficult,15-02-2023,Peak,18000,1,18000,Completed,0,32,Chennai
228,user228@gmail.com,Kedarkantha,7,Moderate,15-03-2024,Moderate,14000,1,14000,Cancelled - Full Refund,1,45,Delhi
229,user229@gmail.com,Kedarkantha,7,Moderate,10-06-2025,Off,11900,2,23800,Completed,0,29,Chennai
230,user230@gmail.com,Triund,2,Easy,10-10-2023,Peak,4800,2,9600,Completed,0,18,Mumbai
231,user231@gmail.com,Sandakphu,6,Difficult,23-09-2025,Moderate,15000,6,90000,Completed,0,39,Delhi
232,user232@gmail.com,Valley of Flowers,6,Moderate,08-04-2025,Moderate,13000,3,39000,Cancelled - Partial Refund,3,34,Mumbai
233,user233@gmail.com,Triund,2,Easy,13-07-2023,Off,3400,1,3400,Cancelled - Full Refund,1,52,Pune
234,user234@gmail.com,Sandakphu,6,Difficult,03-09-2024,Moderate,15000,5,75000,Completed,0,30,Chennai
235,user235@gmail.com,Hampta Pass,5,Moderate,30-09-2024,Moderate,12000,4,48000,Cancelled - No Refund,4,35,Hyderabad
236,user236@gmail.com,Hampi,5,Easy,19-04-2023,Moderate,9000,4,36000,Completed,0,18,Chennai
